제목,기관명,표준직무(NCS),고용형태,대체인력여부,채용구분,공고기간,학력정보,근무지,채용인원,원문URL,등록일,마감일,상태
한국도로공사서비스(주) 대구경북권역본부 기간제근로자 채용 공고,한국도로공사서비스(주),운전.운송,비정규직,아니오,신입,2025.09.30~2025.10.20,학력무관,대구/경북,35명,https://www.exservice.co.kr/boad/bd_recruit/egoread.php?bd=1&itm=&txt=&pg=1&seq=4825,2025.09.30,2025.10.20,진행중
[중앙보훈병원] 약무직(야간전담약사) 채용 공고,한국보훈복지의료공단,보건.의료,비정규직,아니오,신입+경력,2025.09.30~2025.10.10,학력무관,서울,1명,https://seoul.bohun.or.kr/010intro/intro09.php?left=1&boardid=cbid2,2025.09.30,2025.10.10,진행중
[다도해서부] 다도해해상국립공원서부사무소 국립공원지킴이(기간제) 모집 공고,국립공원공단,환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.30~2025.10.17,학력무관,전남,1명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM018115,2025.09.30,2025.10.17,진행중
2025년 제13차 청년인턴 채용 공고,경북대학교치과병원,보건.의료,청년인턴(체험형),아니오,신입,2025.09.30~2025.10.07,학력무관,대구,1명,www.knudh.kr,2025.09.30,2025.10.07,진행중
2025년 제12차 청년인턴 채용 공고,경북대학교치과병원,보건.의료,청년인턴(체험형),아니오,신입,2025.09.30~2025.10.07,학력무관,대구,1명,www.knudh.kr,2025.09.30,2025.10.07,진행중
한국고전번역원 2025년 4분기 직원 신규 채용,한국고전번역원,경영.회계.사무/법률.경찰.소방.교도.국방/연구,정규직,아니오,신입+경력,2025.09.30~2025.10.15,학력무관/대졸(2~3년)/대졸(4년)/석사/박사,서울,4명,https://www.itkc.or.kr/bbs/boardView.do?id=2&bIdx=315066&page=1&menuId=99&bc=0&sortName=&sortType=,2025.09.30,2025.10.15,진행중
국민건강보험공단 서울요양원 직원 채용공고,서울요양원,사회복지.종교/음식서비스,정규직,아니오,신입,2025.09.30~2025.10.15,학력무관,서울,16명,https://www.서울요양원.kr,2025.09.30,2025.10.15,진행중
[광주보훈병원] 계약직 보건직(방사선사-육아휴직 대체) 직원 채용,한국보훈복지의료공단,보건.의료,비정규직,예,신입+경력,2025.09.30~2025.10.10,학력무관,광주,1명,https://gwangju.bohun.or.kr/010intro/05_body_view.php?left=9&postidx=65473&boardid=cbid2&page=1&opt=&keyword=,2025.09.30,2025.10.10,진행중
[대전] 충남대학교병원 2025년 10월 보조금직원 채용공고【채용분야 : 공고참고】,충남대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.09.30~2025.10.14,학력무관,대전,3명,https://cnuhinsa.recruiter.co.kr/career/home,2025.09.30,2025.10.14,진행중
[대전] 충남대학교병원 2025년 10월 업무지원계약직 직원 채용공고【채용분야 : 보조원】,충남대학교병원,보건.의료,비정규직,아니오,신입,2025.09.30~2025.10.14,학력무관,대전,3명,https://cnuhinsa.recruiter.co.kr/career/home,2025.09.30,2025.10.14,진행중
[강원혈액원] 2025년 비정규직 초단시간 운전원 채용 공고,대한적십자사,운전.운송,비정규직,아니오,신입,2025.09.30~2025.10.15,학력무관,강원,1명,https://www.redcross.or.kr/recruit/,2025.09.30,2025.10.15,진행중
[대전] 충남대학교병원 2025년 10월 계약직 직원 채용공고【채용분야 : 취사】,충남대학교병원,보건.의료,비정규직,예,신입,2025.09.30~2025.10.14,학력무관,대전,2명,https://cnuhinsa.recruiter.co.kr/career/home,2025.09.30,2025.10.14,진행중
[강원혈액원] 2025년 비정규직 대체인력(사무보조) 채용 공고,대한적십자사,경영.회계.사무,비정규직,예,신입,2025.09.30~2025.10.15,학력무관,강원,1명,https://www.redcross.or.kr/recruit/,2025.09.30,2025.10.15,진행중
(수정) [강원혈액원] 2025년 비정규직 대체인력(임상병리사) 채용 공고,대한적십자사,보건.의료,비정규직,예,신입,2025.09.30~2025.10.15,학력무관,강원,1명,https://www.redcross.or.kr/recruit/,2025.09.30,2025.10.15,진행중
제주대학교병원 약무직(약사) 모집공고,제주대학교병원,보건.의료,정규직,아니오,신입+경력,2025.09.30~2025.10.13,학력무관,제주,3명,https://www.jejunuh.co.kr/news/recruit/_/22425/view.do,2025.09.30,2025.10.13,진행중
한전KPS(주) 삼천포사업처 경상정비공사 단기노무원 채용(제53차),한전KPS(주),기계,비정규직,아니오,신입+경력,2025.09.30~2025.10.14,학력무관,경남,4명,https://www.kps.co.kr,2025.09.30,2025.10.14,진행중
제주대학교병원 계약직(업무지원_기계) 모집공고,제주대학교병원,보건.의료,무기계약직,아니오,신입+경력,2025.09.30~2025.10.13,학력무관,제주,2명,https://www.jejunuh.co.kr/news/recruit/_/22424/view.do,2025.09.30,2025.10.13,진행중
제주대학교병원 시설기술직(기계) 모집공고,제주대학교병원,보건.의료,정규직,아니오,경력,2025.09.30~2025.10.13,학력무관,제주,1명,https://www.jejunuh.co.kr/news/recruit/_/22423/view.do,2025.09.30,2025.10.13,진행중
전북지사 기간제 계약직(육아휴직 대체인력) 채용 공고,(주)한국가스기술공사,건설/기계/전기.전자/환경.에너지.안전,비정규직,예,신입,2025.09.30~2025.10.14,학력무관,충남/전북,2명,https://kogastech.recruiter.co.kr,2025.09.30,2025.10.14,진행중
제주대학교병원 전일제 계약직(장애인_병원안내 등) 모집공고,제주대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.09.30~2025.10.13,학력무관,제주,1명,https://www.jejunuh.co.kr/news/recruit/_/22422/view.do,2025.09.30,2025.10.13,진행중
제주대학교병원 휴직대체 계약직(건축_ 행정_ 환경)_ 사업인력 계약직(행동치료전문가) 모집공고,제주대학교병원,보건.의료,비정규직,예,신입+경력,2025.09.30~2025.10.13,학력무관,제주,4명,https://www.jejunuh.co.kr/news/recruit/_/22421/view.do,2025.09.30,2025.10.13,진행중
예금보험공사 업무지원직원(육아휴직 대체) 채용 안내,예금보험공사,경영.회계.사무,비정규직,예,신입,2025.09.30~2025.10.14,학력무관,서울,1명,https://www.kdic.or.kr,2025.09.30,2025.10.14,진행중
2025년도 직무중심 신입사원(5급_ 6급) 채용 공고,한국농어촌공사,경영.회계.사무/건설/전기.전자/정보통신/환경.에너지.안전/농림어업,정규직,아니오,신입,2025.09.30~2025.10.15,학력무관,인천/대전/대구/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종,288명,https://www.ekr.or.kr/planweb/board/view.krc?dataUid=8a8bb3529665d714019998fe0cd727a0&page=1&boardUid=402880317cc0644a017cc5e8000f06b7&contentUid=8a8bb3529665d7140199501cd3ef6280&searchType=&keyword=&categoryUid1=&categoryUid2=8a8bb3529665d714019951996437,2025.09.30,2025.10.15,진행중
2025년도 한전KPS(주) 한빛3사업처 단기노무원 채용공고,한전KPS(주),기계/환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.30~2025.10.10,학력무관,전남,4명,https://www.kps.co.kr,2025.09.30,2025.10.10,진행중
[한국수자원공사] 한강유역협력단 이천현대화사업소 특수직(사무관리_건설사업) 채용 공고,한국수자원공사,경영.회계.사무,비정규직,아니오,신입+경력,2025.09.30~2025.10.14,학력무관,경기,1명,https://k-water.recruiter.co.kr,2025.09.30,2025.10.14,진행중
[한국수자원공사] 대청댐지사 사회형평적 인재 단기계약근로자(수질분석_수질검사 보조) 채용 공고(장애인 제한채용),한국수자원공사,환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.30~2025.10.15,학력무관,대전,1명,https://k-water.recruiter.co.kr/,2025.09.30,2025.10.15,진행중
[한국수자원공사] 한강유역협력단 이천현대화사업소 특수직(기술관리_건설사업) 채용 공고,한국수자원공사,건설/기계/전기.전자/정보통신,비정규직,아니오,신입+경력,2025.09.30~2025.10.14,학력무관,경기,2명,https://k-water.recruiter.co.kr,2025.09.30,2025.10.14,진행중
[한국수자원공사] 한강유역협력단 가평2현대화사업소 특수직(기술관리_건설사업) 채용 공고(재공고),한국수자원공사,건설/기계/전기.전자/정보통신,비정규직,아니오,신입+경력,2025.09.30~2025.10.14,학력무관,경기,1명,https://k-water.recruiter.co.kr,2025.09.30,2025.10.14,진행중
충북대학교병원 중환자진료센터 기간제근무자 채용 공고,충북대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.09.30~2025.10.14,대졸(4년),충북,1명,https://cbnuh.recruiter.co.kr/,2025.09.30,2025.10.14,진행중
한국여성정책연구원 2025년 제6차 직원 블라인드 채용 공고,한국여성정책연구원,경영.회계.사무/연구,비정규직/정규직,아니오,신입+경력,2025.09.30~2025.10.14,대졸(4년)/석사/박사,서울,9명,https://kwdi.recruiter.co.kr/,2025.09.30,2025.10.14,진행중
별정직 직원모집 공고(입원의학과)_채용완료시 공고종료,한국원자력의학원,보건.의료,비정규직,아니오,신입+경력,2025.09.30~2025.12.31,학력무관,서울,15명,http://kirams.recruiter.co.kr,2025.09.30,2025.12.31,진행중
한전KPS(주)광주전남전력지사 기술팀 단기노무원 채용,한전KPS(주),전기.전자,비정규직,아니오,신입+경력,2025.09.30~2025.10.13,학력무관,광주/전남,1명,https://www.kps.co.kr,2025.09.30,2025.10.13,진행중
한국농어촌공사 새만금사업단 계약직(육아휴직 대체인력) 일반경쟁 공개채용 공고,한국농어촌공사,경영.회계.사무,비정규직,예,신입+경력,2025.09.30~2025.10.16,학력무관,전북,1명,https://www.ekr.or.kr/planweb/board/view.krc?dataUid=8a8bb3529665d714019997eca6666c4a&page=1&boardUid=402880317cc0644a017cc5e8000f06b7&contentUid=8a8bb3529665d7140199501cd3ef6280&searchType=&keyword=&categoryUid1=&categoryUid2=8a8bb3529665d714019951996437,2025.09.30,2025.10.16,진행중
2025년도 제4차 장애인기업종합지원센터 직원채용 연장공고(기간제 인력채용)_진주 가치만드소,재단법인 장애인기업종합지원센터,사업관리/경영.회계.사무,비정규직,아니오,신입,2025.09.30~2025.10.13,고졸/대졸(2~3년)/대졸(4년),경남,1명,https://debc.or.kr/bbs/board.php?bo_table=s2_8&wr_id=1197,2025.09.30,2025.10.13,진행중
한전KPS(주)부산경남전력지사 기술팀 단기노무원(차량순시 정비보조)모집,한전KPS(주),전기.전자,비정규직,아니오,신입+경력,2025.09.30~2025.10.02,학력무관,부산,1명,https://www.kps.co.kr,2025.09.30,2025.10.02,마감
한전KPS(주)충남전북전력지사(서산지점) 단기노무원 채용 공고,한전KPS(주),전기.전자,비정규직,아니오,신입+경력,2025.09.30~2025.10.02,학력무관,충남,2명,http://www.kps.co.kr,2025.09.30,2025.10.02,마감
한전KPS(주) 남제주사업소 복합 경상정비공사 단기노무원 채용 공고,한전KPS(주),기계/전기.전자,비정규직,아니오,신입+경력,2025.09.30~2025.10.15,학력무관,제주,2명,https://www.kps.co.kr/,2025.09.30,2025.10.15,진행중
(수정) 한국환경보전원 보상사업팀(영남지사) 기간제 직원 채용 공고,한국환경보전원,환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.30~2025.10.13,학력무관,경남,2명,https://www.keci.or.kr/common/bbs/selectBbs.do?bbs_code=A1003&bbs_seq=7937&sch_sort_col=&sch_sort=&sch_type=&row_per_page=&sch_text=&currentPage=1,2025.09.30,2025.10.13,진행중
한국폴리텍대학 충남캠퍼스[대학운영직_조리사]채용(6차) 공고,학교법인한국폴리텍,음식서비스,무기계약직,아니오,신입+경력,2025.09.30~2025.10.09,학력무관,충남,1명,https://www.kopo.ac.kr/chungnam/board.do?menu=10539&mode=view&post=759542,2025.09.30,2025.10.09,진행중
[부산보훈병원] 계약직(업무지원직-고객지원) 공개채용,한국보훈복지의료공단,보건.의료,비정규직,아니오,신입+경력,2025.09.30~2025.10.14,학력무관,부산,1명,https://busan.bohun.or.kr/010intro/05_body_view.php?left=5&postidx=65457&boardid=cbid2,2025.09.30,2025.10.14,진행중
칠곡경북대학교병원 2025년 9월 5차 임시직원 채용공고(업무보조),경북대학교병원,보건.의료,비정규직,예,신입+경력,2025.09.30~2025.10.10,학력무관,대구,2명,https://www.knuch.kr:442/content/04info/11_01.asp?proc_type=view&b_num=5011&rtn_url=%2Fcontent%2F04info%2F11%5F01%2Easp%3Fproc%5Ftype%3Dlist,2025.09.30,2025.10.10,진행중
2025년도 제6차 신규직원(정규직_ 계약직) 채용,한국해양교통안전공단,사업관리/경영.회계.사무/문화.예술.디자인.방송/운전.운송/경비.청소/기계/정보통신/환경.에너지.안전,비정규직/정규직,예,신입+경력,2025.09.30~2025.10.16,학력무관/고졸/대졸(2~3년)/대졸(4년)/석사,서울/인천/부산/울산/강원/충남/경북/경남/전남/전북/제주/세종,46명,https://komsa.plusrecruit.co.kr,2025.09.30,2025.10.16,진행중
칠곡경북대학교병원 2025년 9월 4차 임시직원 채용공고(운영지원 업무보조),경북대학교병원,보건.의료,비정규직,예,신입+경력,2025.09.30~2025.10.10,학력무관,대구,5명,https://www.knuch.kr:442/content/04info/11_01.asp?proc_type=view&b_num=5010&rtn_url=%2Fcontent%2F04info%2F11%5F01%2Easp,2025.09.30,2025.10.10,진행중
연구교수 공개채용,서울대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.09.30~2025.10.13,석사/박사,서울,4명,http://www.snuh.org/about/news/recruit/recruView.do?recruit_id=25137,2025.09.30,2025.10.13,진행중
한국폴리텍대학 울산캠퍼스 2025년 청년인턴 2차 채용 공고,학교법인한국폴리텍,경영.회계.사무,청년인턴(체험형),아니오,신입+경력,2025.09.30~2025.10.17,학력무관,울산,2명,https://www.kopo.ac.kr/ulsan/board.do?menu=10553&mode=view&post=759488,2025.09.30,2025.10.17,진행중
2025년 정보통신기획평가원 직원채용(공무직) 공고,정보통신기획평가원,경영.회계.사무/경비.청소,무기계약직,아니오,신입+경력,2025.09.30~2025.10.23,학력무관,서울/대전,4명,https://www.iitp.kr/kr/1/notice/hire.it,2025.09.30,2025.10.23,진행중
한국폴리텍대학 로봇캠퍼스 대학운영직(경비원) 채용 공고,학교법인한국폴리텍,경비.청소,무기계약직,아니오,신입+경력,2025.09.30~2025.10.14,학력무관,경북,1명,https://www.kopo.ac.kr/robot/board.do?menu=10556&mode=view&post=759400,2025.09.30,2025.10.14,진행중
한국토지주택공사 사내변호사 채용 공고,한국토지주택공사,법률.경찰.소방.교도.국방,비정규직,아니오,신입+경력,2025.09.30~2025.10.14,학력무관,경기,4명,https://www.lh.or.kr/board.es?mid=a10602050000&bid=0036&act=view&list_no=726786&tag=&nPage=1,2025.09.30,2025.10.14,진행중
(25-0-16) 2025년도 별정직(보훈제한경쟁) 2차 채용공고,한국항공우주연구원,사업관리/경영.회계.사무,비정규직,아니오,신입+경력,2025.09.29~2025.10.13,학력무관,대전,4명,https://kari.recruitment.kr/,2025.09.29,2025.10.13,진행중
2025-08 국가수리과학연구소 정규직 연구원 공개채용,국가수리과학연구소,연구,정규직,아니오,경력,2025.09.29~2025.10.19,박사,경기,1명,https://nims.recruiter.co.kr/appsite/company/index,2025.09.29,2025.10.19,진행중
[제2025-06호] 한국특허전략개발원 직원 채용 공고(계약직/일반직6급),한국특허전략개발원,사업관리/경영.회계.사무/법률.경찰.소방.교도.국방,비정규직,예,신입,2025.09.29~2025.10.16,학력무관,서울/대전,4명,https://kista.recruiter.co.kr/career/jobs/85520,2025.09.29,2025.10.16,진행중
2025년 국가유산진흥원 하반기 직원 채용,국가유산진흥원,사업관리/경영.회계.사무/교육.자연.사회과학/법률.경찰.소방.교도.국방/문화.예술.디자인.방송/영업판매/경비.청소/음식서비스/건설/정보통신/연구,무기계약직/정규직,아니오,신입+경력,2025.09.29~2025.10.15,학력무관/고졸/대졸(2~3년)/대졸(4년)/석사/박사,서울/인천/충북/경북/해외,33명,https://www.kh.or.kr/brd/board/721/L/CATEGORY/719/menu/377?brdType=R&thisPage=1&bbIdx=118391&searchField=&searchText=,2025.09.29,2025.10.15,진행중
[한국조세재정연구원] 행정직(행정원) 신규인력채용,한국조세재정연구원,사업관리/경영.회계.사무,정규직,아니오,신입+경력,2025.09.29~2025.10.17,학력무관,세종,1명,https://www.kipf.re.kr/kor/Plaza/Recruitment/kiRecruitment/view.do?cntNo=426,2025.09.29,2025.10.17,진행중
[한국조세재정연구원] 연구직(연구원) 신규인력 채용,한국조세재정연구원,사업관리/연구,정규직,아니오,신입+경력,2025.09.29~2025.10.17,석사/박사,세종,7명,https://www.kipf.re.kr/kor/Plaza/Recruitment/kiRecruitment/view.do?cntNo=425,2025.09.29,2025.10.17,진행중
[한국조세재정연구원] 연구직(특수전문직) 신규인력 채용,한국조세재정연구원,사업관리/연구,정규직,아니오,신입+경력,2025.09.29~2025.10.17,대졸(4년)/석사/박사,세종,2명,https://www.kipf.re.kr/kor/Plaza/Recruitment/kiRecruitment/view.do?cntNo=424,2025.09.29,2025.10.17,진행중
2025년 4분기 한국원자력통제기술원 기간제 계약직(일반_ 보훈_ 장애인)_ 아르바이트 학생 채용 공고,한국원자력통제기술원,사업관리/경영.회계.사무/교육.자연.사회과학/기계/재료/화학/전기.전자/정보통신/환경.에너지.안전/연구,비정규직,아니오,신입,2025.09.29~2025.10.13,학력무관/대졸(2~3년)/대졸(4년),대전,7명,https://kinac.recruiter.co.kr/appsite/company/index,2025.09.29,2025.10.13,진행중
2025년도 11월 기간제근로자 채용공고(간호직_ 보건직_ 기능직_ 연구직_ 사무직),국민건강보험공단 일산병원,보건.의료,비정규직,예,신입+경력,2025.09.29~2025.10.13,학력무관,경기,28명,https://nhimc.recruiter.co.kr/,2025.09.29,2025.10.13,진행중
2025년도 전문계약직(야간약사) 모집공고,국민건강보험공단 일산병원,보건.의료,비정규직,아니오,신입+경력,2025.09.29~2025.10.13,학력무관,경기,1명,https://nhimc.recruiter.co.kr/appsite/company/index,2025.09.29,2025.10.13,진행중
2025년도 한국법제연구원 신규직원(육아휴직 대체) 채용 공고,한국법제연구원,교육.자연.사회과학,비정규직,예,신입,2025.09.29~2025.10.13,대졸(2~3년)/대졸(4년),세종,2명,https://www.klri.re.kr/kor/recruit/170/view.do,2025.09.29,2025.10.13,진행중
2025년 4분기 1차수 한국산업기술시험원 위촉 계약직 (행정_ 연구직) 공개모집,한국산업기술시험원,경영.회계.사무/건설/기계/재료/화학/전기.전자/정보통신/환경.에너지.안전/연구,비정규직,예,신입+경력,2025.09.29~2025.10.15,학력무관/대졸(2~3년)/대졸(4년)/석사/박사,서울/대구/광주/경기/충남/경남,32명,https://ktl1.career.co.kr,2025.09.29,2025.10.15,진행중
연구개발특구진흥재단 2025년 제3차 신규직원(정규직_ 기간제) 채용 공고,연구개발특구진흥재단,사업관리/경영.회계.사무,비정규직/정규직,예,신입,2025.09.29~2025.10.16,학력무관,대전/대구/부산,7명,https://www.innopolis.or.kr/board/view?pageNum=1&rowCnt=10&no1=168&linkId=51835&menuId=MENU00321&boardKind=NOTICE&schType=0&schText=&categoryId=&continent=&country=,2025.09.29,2025.10.16,진행중
서울적십자병원 정규직 간호조무사 신규채용 공고,대한적십자사,보건.의료,정규직,아니오,신입+경력,2025.09.29~2025.10.14,학력무관,서울,1명,https://redcross.or.kr/recruit,2025.09.29,2025.10.14,진행중
(수정) [인천보훈병원] 2025-14차 직원(보건직_ 기능직_ 업무지원직) 공개채용,한국보훈복지의료공단,보건.의료,무기계약직/비정규직,예,신입+경력,2025.09.29~2025.10.15,학력무관,인천,5명,https://incheon.bohun.or.kr/010intro/05_body_view.php?left=7&postidx=65453&boardid=cbid2&page=1&opt=&keyword=,2025.09.29,2025.10.15,진행중
[채용공고] 2025년 11월 업무지원직 모집공고(보건직_ 기능직),국민건강보험공단 일산병원,보건.의료/경비.청소/기계/전기.전자,무기계약직,아니오,신입,2025.09.29~2025.10.13,학력무관,경기,23명,https://nhimc.recruiter.co.kr/appsite/company/index,2025.09.29,2025.10.13,진행중
[세종] 2025년 시간제약사(평일전담_ 주말전담) 상시채용 공고,충남대학교병원,보건.의료,비정규직,예,신입+경력,2025.09.29~2025.12.31,학력무관,세종,3명,https://cnuhinsa.recruiter.co.kr/career/home,2025.09.29,2025.12.31,진행중
[한국환경연구원] 2025년 제3차 인력채용(무기계약직-행정원) 공고,한국환경연구원,경영.회계.사무,무기계약직,아니오,신입,2025.09.29~2025.10.14,학력무관,세종,1명,https://kei.recruiter.co.kr/appsite/company/index,2025.09.29,2025.10.14,진행중
[한국환경연구원] 2025년 제3차 인력채용(부연구위원) 공고,한국환경연구원,환경.에너지.안전/연구,정규직,아니오,신입,2025.09.29~2025.10.14,박사,세종,4명,https://kei.recruiter.co.kr/appsite/company/index,2025.09.29,2025.10.14,진행중
[본사] 정규직 일반기능직(운전기사) 채용,한국보훈복지의료공단,운전.운송,정규직,아니오,신입+경력,2025.09.29~2025.10.13,학력무관,강원,1명,https://www.bohun.or.kr/060notice/notice03_view.php?left=3&postidx=65452&boardid=cbid2&page=1&opt=&keyword=&tcheck=,2025.09.29,2025.10.13,진행중
2025년 4분기 1차수 한국산업기술시험원 위촉 계약직 (기능_ 사무직) 공개모집,한국산업기술시험원,경영.회계.사무/경비.청소,비정규직,예,신입,2025.09.29~2025.10.15,학력무관,서울/경기/경남,3명,	https://ktl1.career.co.kr,2025.09.29,2025.10.15,진행중
한전KPS(주)신서천사업소 25년 8차 경상정비공사 단기노무원 채용,한전KPS(주),환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.29~2025.10.13,학력무관,충남,1명,https://www.kps.co.kr,2025.09.29,2025.10.13,진행중
2025년 하반기 신규직원 체험형 청년인턴 채용공고,축산물품질평가원,사업관리/경영.회계.사무/농림어업,청년인턴(체험형),아니오,신입,2025.09.29~2025.10.14,학력무관,경기/강원/충남/충북/경북/경남/전남/전북/제주/세종,13명,https://ekape.or.kr/board/view.do?menuId=menu138147&boardNo=808&dmlType=SELECT&pageIndex=1&pageUnit=10&categoryNo=&tabIndex=&searchCondition=SUBJECT&searchKeyword=,2025.09.29,2025.10.14,진행중
2025년 하반기 신규직원 행정직(7급) 보훈특별고용 채용공고,축산물품질평가원,사업관리/경영.회계.사무/농림어업,정규직,예,신입,2025.09.29~2025.10.14,고졸,대전/대구/부산/광주/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종,1명,https://ekape.or.kr/board/view.do?menuId=menu138147&boardNo=807&dmlType=SELECT&pageIndex=1&pageUnit=10&categoryNo=&tabIndex=&searchCondition=SUBJECT&searchKeyword=,2025.09.29,2025.10.14,진행중
2025년 하반기 신규직원 행정직(6급) 채용공고,축산물품질평가원,사업관리/경영.회계.사무/농림어업,정규직,아니오,신입,2025.09.29~2025.10.14,학력무관,대전/대구/부산/광주/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종,3명,https://ekape.or.kr/board/view.do?menuId=menu138147&boardNo=806&dmlType=SELECT&pageIndex=1&pageUnit=10&categoryNo=&tabIndex=&searchCondition=SUBJECT&searchKeyword=,2025.09.29,2025.10.14,진행중
[원주보훈요양원] 2025년 제5차 요양보호직 공개채용 ,한국보훈복지의료공단,사회복지.종교,정규직,아니오,신입+경력,2025.09.29~2025.10.13,학력무관,강원,5명,https://www.bohun.or.kr/060notice/notice03_view.php?left=3&postidx=65451&boardid=cbid2&page=1&opt=&keyword=&tcheck=,2025.09.29,2025.10.13,진행중
2025년 하반기 신규직원 채용형 청년인턴(축산물품질평가직) 채용공고,축산물품질평가원,농림어업,청년인턴(채용형),예,신입,2025.09.29~2025.10.14,대졸(2~3년)/대졸(4년),인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종,21명,https://ekape.or.kr/board/view.do?menuId=menu138147&boardNo=805&dmlType=SELECT&pageIndex=1&pageUnit=10&categoryNo=&tabIndex=&searchCondition=SUBJECT&searchKeyword=,2025.09.29,2025.10.14,진행중
(수정) 한전MCS(주) 2025년 하반기 신규채용 공고,한전MCS(주),기계/전기.전자,정규직,아니오,신입,2025.09.29~2025.10.13,학력무관,서울/인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종,138명,https://recruit.incruit.com/kepcomcs,2025.09.29,2025.10.13,진행중
[노사발전재단 제주중장년내일센터] 제주특별자치도 중장년 취업지원 프로젝트 사업 전담 인력 모집,노사발전재단,사업관리,비정규직,아니오,신입+경력,2025.09.29~2025.10.14,학력무관,제주,1명,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0322509290001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,2025.09.29,2025.10.14,진행중
한국보건의료연구원 2025년 제3차 직원채용 공고,한국보건의료연구원,경영.회계.사무/연구,무기계약직/비정규직/정규직,예,신입+경력,2025.09.29~2025.10.13,학력무관/대졸(4년)/석사,서울,14명,https://neca.applyin.co.kr/,2025.09.29,2025.10.13,진행중
2025년 제2차 정규직(채용형인턴) 채용 공고_한국고용노동교육원,한국고용노동교육원,사업관리/경영.회계.사무/교육.자연.사회과학,청년인턴(채용형),아니오,신입,2025.09.29~2025.10.14,학력무관,대전/경기,4명,https://www.keli.kr/cmmn/cmmnNtt/post/selectDetailOpen.do?cmmnNttIdOpn=t5HuHlhA4fNiaKuwgFmOtDpEbz1cjTk6&_paramMenuNo=910414,2025.09.29,2025.10.14,진행중
[대한적십자사 부산지사] 비정규직(육아휴직 대체인력) 채용 공고,대한적십자사,경영.회계.사무/사회복지.종교,비정규직,예,신입,2025.09.29~2025.10.15,학력무관,부산,1명,https://www.redcross.or.kr/recruit/,2025.09.29,2025.10.15,진행중
2025년도 의사직(임상교수) 모집공고,국민건강보험공단 일산병원,보건.의료,비정규직,아니오,경력,2025.09.29~2025.10.13,학력무관,경기,2명,https://nhimc.recruiter.co.kr/appsite/company/index,2025.09.29,2025.10.13,진행중
2025년 제4차 한국자활복지개발원 직원채용 공고,재단법인 한국자활복지개발원,사업관리/경영.회계.사무/교육.자연.사회과학/사회복지.종교/정보통신,비정규직,아니오,신입+경력,2025.09.29~2025.10.13,학력무관,서울/충북,8명,https://www.kdissw.or.kr/board.es?mid=a10501020000&bid=0004#content,2025.09.29,2025.10.13,진행중
한국환경공단(본사) 자원순환본부 사업장폐기물처 전자인계정보부 수탁폐수 전자인계인수관리시스템 운영 기간제근로자(촉탁라급) 채용공고(2차),한국환경공단,환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.29~2025.10.24,고졸/대졸(2~3년)/대졸(4년)/석사/박사,인천,1명,https://www.keco.or.kr/web/lay1/bbs/S1T1205C1207/A/22/view.do?article_seq=85069&cpage=1&rows=10&condition=&keyword=,2025.09.29,2025.10.24,진행중
2025년 본사 한시적계약직 특별채용 재공고,대한석탄공사,경영.회계.사무/법률.경찰.소방.교도.국방,비정규직,아니오,신입+경력,2025.09.29~2025.10.02,학력무관,강원,2명,https://www.kocoal.or.kr/board/board_view.php?view_id=138&board_name=recruit&page=1,2025.09.29,2025.10.02,마감
한전KPS(주)한빛2사업소 모집 공고(4-18차 계획예방정비공사 3차),한전KPS(주),건설,비정규직,아니오,신입+경력,2025.09.29~2025.10.02,학력무관,전남,37명,https://www.kps.co.kr,2025.09.29,2025.10.02,마감
[내장산] 2025년 내장산국립공원 가을성수기 한시인력(환경관리-청소미화) 채용 공고,국립공원공단,환경.에너지.안전,비정규직,아니오,신입+경력,2025.09.29~2025.10.15,학력무관,전북,10명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM018102,2025.09.29,2025.10.15,진행중
2025년 제2차 정규직 채용공고,산업연구원,경영.회계.사무,정규직,아니오,신입+경력,2025.09.29~2025.10.13,대졸(4년),세종,1명,https://www.kiet.re.kr/communicate/ntcHireView?ntc_no=10601&skey=&sval=&pg=1&pp=10,2025.09.29,2025.10.13,진행중
